metric,pearson,pearson_p,spearman,spearman_p,kendall,kendall_p,recall,precision,disease
epirank,0.7536541984050605,6.014722649313014e-66,0.6718429973293967,1.1050179662956086e-47,0.5238594459359758,3.7668535160403906e-42,0.8045977011494253,0.6730769230769231,flu
population,0.7583183383554235,3.3273798879133934e-67,0.6721572601566853,9.648681430892038e-48,0.5243243834882658,3.193204831703816e-42,0.7816091954022989,0.6732673267326733,flu
pagerank,0.35455242699388906,6.790316380921169e-12,0.445423535146364,1.317476836748422e-18,0.32531584701489946,2.9560920385861526e-17,0.6091954022988506,0.4953271028037383,flu
hub_rank,0.386474132049231,5.073374183168447e-14,0.35049747157082806,1.2176062981073318e-11,0.268429907593273,3.1459935406646703e-12,0.2988505747126437,1.0,flu
authority_rank,0.39742140337985066,8.332168775677287e-15,0.3860052427690934,5.4733479937541435e-14,0.293429242135635,2.5314894067145332e-14,0.3333333333333333,1.0,flu
epirank,0.7285953936499163,1.2034122300964259e-59,0.769427688158364,2.566142953774886e-70,0.6061435227481023,2.5045196330766945e-58,0.6044776119402985,0.7788461538461539,ev
population,0.7269483477923641,2.9503406987116754e-59,0.7648015938000157,5.326238292606007e-69,0.6020545752008659,1.4407545965118638e-57,0.6119402985074627,0.8118811881188119,ev
pagerank,0.5359069979342118,1.2391106591698118e-27,0.5298011795454053,6.174713265828375e-27,0.38821261497045856,6.212561019565217e-25,0.5149253731343284,0.6448598130841121,ev
hub_rank,0.216527941181711,4.086503377283752e-05,0.0980163652476756,0.06584754640816884,0.07746665752306321,0.0396126207458043,0.16417910447761194,0.8461538461538461,ev
authority_rank,0.2190186354386067,3.311748515356097e-05,0.11506180838982048,0.03066981376615455,0.0894586129347062,0.017486715014822136,0.17164179104477612,0.7931034482758621,ev
epirank,0.6319383745874717,9.441366266449251e-41,0.4643222366709913,2.815847444582311e-20,0.37882422698934903,2.437729196103859e-19,0.7272727272727273,0.46153846153846156,sars
population,0.6353742413159293,2.619198125814652e-41,0.4696086511792046,9.195342290542168e-21,0.38308067897799336,9.671946741867989e-20,0.696969696969697,0.45544554455445546,sars
pagerank,0.21062686577097356,6.660114423200069e-05,0.27329028494478574,1.82754327071511e-07,0.21472852975859105,3.4575550469331753e-07,0.5606060606060606,0.34579439252336447,sars
hub_rank,0.4185895460023278,2.0853366628239567e-16,0.33804146693872006,6.952730483580577e-11,0.27504520679253297,6.651577399712054e-11,0.36363636363636365,0.9230769230769231,sars
authority_rank,0.43753956017812345,6.114041030599833e-18,0.33800172097051706,6.990630536789645e-11,0.275381242475847,6.30651522158732e-11,0.3939393939393939,0.896551724137931,sars
